,obs,2MASS,dist,dist_err,age,J,J_err
0,2022-12-20,12505143-5156353,111.60714285714285,9.165804002760524,6.0,9.331,0.011
1,2023-01-28,10065573-6352086,132.6259946949602,16.40530187731997,14.0,9.262,0.028
2,2023-03-03-1,10065573-6352086,132.6259946949602,16.40530187731997,14.0,9.262,0.028
3,2023-03-03-2,10065573-6352086,132.6259946949602,16.40530187731997,14.0,9.262,0.028
4,2023-04-20-1,11445217-6438548,104.4932079414838,9.531877577330334,6.0,9.43,0.022
5,2023-04-20-2,11454278-5739285,118.48341232227489,10.382567059168423,8.0,9.38,0.024
6,2023-05-16,13015069-5304581,141.04372355430183,12.802430291852005,7.0,9.46,0.024
7,2023-05-27,12182762-5943128,86.50519031141867,7.74551656888292,10.0,8.467,0.019
8,2023-05-28-1,12333381-5714066,95.78544061302682,6.568704729859576,18.0,8.947,0.023
9,2023-05-28-2,12264842-5215070,100.1001001001001,7.774765056318458,5.0,9.063,0.017
10,2023-05-28-3,12240975-6003416,109.40919037199124,10.065122650708872,9.0,9.578,0.023
11,2023-05-30-1,12405458-5031550,87.79631255487269,5.836646246625435,17.0,9.481,0.021
12,2023-05-30-2,12404664-5211046,158.98251192368838,13.729059751613875,14.0,9.936,0.029
13,2023-05-30-3,12391404-5454469,128.2051282051282,13.840326340326328,4.0,9.398,0.02
14,2023-06-15-1,12560830-6926539,101.010101010101,10.47261916827135,3.0,8.91,0.024
15,2023-06-15-2,13064012-5159386,116.00928074245941,10.25334552016686,10.0,8.921,0.024
16,2023-06-16,13334410-6359345,107.64262648008612,16.735482972650217,12.0,9.305,0.022
17,2023-06-17-1,12210808-5212226,119.18951132300357,8.524409494365514,8.0,9.457,0.025
18,2023-06-17-2,12195938-5018404,141.04372355430183,11.395300835942066,10.0,10.184,0.014
19,2023-06-17-3,12192161-6454101,97.46588693957115,9.600494216745773,5.0,8.056,0.02
20,2023-07-08-1,12210499-7116493,85.54319931565442,7.135206615763565,7.0,9.088,0.024
21,2023-07-08-2,12185802-5737191,108.22510822510823,8.461006127283824,3.0,7.964,0.023
22,2023-07-08-3,12092655-4923487,100.1001001001001,8.125008125008137,4.0,8.718,0.021
23,2023-07-08-4,13065439-4541313,116.27906976744185,7.636667531195059,5.0,9.29,0.026
24,2023-07-14-1,12383556-5916438,87.79631255487269,8.265166791909252,37.0,9.539,0.022
25,2023-07-14-2,12374883-5209463,114.6788990825688,7.870120525274331,9.0,9.658,0.023
26,2023-07-22-1,12160114-5614068,117.50881316098707,16.002535303632413,2.0,8.768,0.026
27,2023-07-22-2,12454884-5410583,116.55011655011654,9.712509712509728,18.0,9.477,0.024
28,2023-07-22-3,13055087-5304181,113.50737797956867,8.147123236976313,13.0,10.069,0.024
29,2023-07-22-4,13334410-6359345,107.64262648008612,16.735482972650217,12.0,9.305,0.022
30,2023-07-23-1,12113142-5816533,97.65624999999999,8.163855820105837,11.0,8.553,0.021
31,2023-07-23-2,12472196-6808397,101.31712259371835,7.49680558908905,5.0,8.796,0.041
32,2023-07-23-3,13095880-4527388,141.44271570014143,9.843214708330578,6.0,9.203,0.024
33,2023-07-23-4,13335481-6536414,112.61261261261261,10.237510237510222,2.0,8.74,0.024
34,2023-07-26-1,13130714-4537438,139.86013986013987,13.27921695456152,2.0,9.17,0.024
35,2023-07-26-2,13444279-6347495,100.90817356205852,7.669459445541904,3.0,8.522,0.024
36,2023-08-07-1,12483152-5944493,95.41984732824426,9.18266313200678,1.0,8.311,0.032
37,2023-08-07-2,13015435-4249422,127.22646310432569,7.726303427388217,14.0,9.678,0.026
38,2023-08-07-3,13343188-4209305,102.98661174047372,6.303005745865079,10.0,8.783,0.019
39,2023-08-07-4,13444279-6347495,100.90817356205852,7.669459445541904,3.0,8.522,0.024
40,2023-08-20,12205449-6457242,89.04719501335708,8.323788433575729,9.0,8.863,0.021
